date,a2c,ddpg,td3,ppo,sac,dji_value,ensemble
2016-03-31,1027667.6309582173,1005344.6812239332,1025562.1455678301,1058150.7031116146,977294.8465613878,1031264.3468180944,1016026.490246424
2016-04-01,1037808.7724739024,1017395.7980120047,1037060.4835422481,1067340.0599516397,987555.3503627112,1037542.2951742761,1026382.0293394416
2016-04-04,1035529.5033191976,1012443.63873945,1032423.7169309831,1062632.5327768552,984194.4481168921,1034291.365275527,1023962.5900160164
2016-04-05,1026024.9814848079,1000608.9060068299,1021001.7463313665,1055250.2643881796,975219.5186704623,1026496.1492585016,1015526.862324366
2016-04-06,1035687.1692553819,1011206.2490059366,1028816.2869096358,1062075.709223187,983238.5214216835,1033069.7609420778,1026000.1469637282
2016-04-07,1027253.6378019579,998266.2119059263,1014693.1416373448,1050131.2599587645,971129.7382029296,1022918.121872743,1015661.1056468644
2016-04-08,1027687.9336498302,998293.544948609,1016791.2474304057,1051381.2045028307,972222.3018176939,1024959.0644100741,1016881.1125832732
2016-04-11,1027064.8081974809,997282.4272513967,1015367.9852471565,1050446.5075390267,973252.1517792658,1023760.6940206878,1013535.4113971274
2016-04-12,1033689.1324478723,1006838.3991347135,1024065.332321487,1060229.8018674506,981890.469468946,1033372.9411337283,1021294.4563123152
2016-04-13,1044126.6772513789,1019824.8078897813,1037274.9563490613,1071351.122949297,997248.4143607008,1044279.113925709,1030192.5481808952
2016-04-14,1044991.6044368412,1021257.9393583379,1039191.0061507638,1072150.59850355,998300.5391252274,1045337.5111913015,1030814.6966845077
2016-04-15,1043412.8507612345,1018932.2666803688,1036516.2908733734,1071513.2785850114,996224.6120331378,1043648.2667876356,1031033.5799985488
2016-04-18,1051750.3077706231,1024656.1332301438,1042368.0898053849,1076902.1830621045,1005363.0464108252,1049870.1803375466,1039821.8119061798
2016-04-19,1046204.2669665461,1027363.991363986,1049600.4911242386,1082756.736139551,1006012.730905279,1052753.1255634094,1037810.148265776
2016-04-20,1052322.224084408,1032976.4227064669,1051892.8447595995,1079702.8197020122,1012917.1861615793,1055241.3215239604,1035943.6908825076
2016-04-21,1052469.5741463732,1032425.5634539403,1040376.7366722347,1072427.3278205593,1013174.4109169308,1048608.258277634,1034197.9727371028
2016-04-22,1043641.118535833,1031403.106767978,1043119.4218880173,1070893.777076369,1011644.2272661363,1049846.263042187,1033081.0689143414
2016-04-25,1042248.7102684999,1030359.4542340029,1039292.9188857658,1067579.2412691447,1012815.0499591269,1048300.4085187943,1033271.6905457692
2016-04-26,1043087.3541739873,1035097.9289397786,1039120.8004465351,1066170.0896415731,1015630.1775326879,1049063.1424569925,1035609.1635185092
2016-04-27,1044790.0917602004,1037667.69245042,1044740.2119522613,1070657.9342237725,1018790.2961824264,1052050.526539258,1042046.0159363332
2016-04-28,1032440.7112134557,1025888.9802460256,1034783.110993201,1059099.1753048003,1007302.3805497907,1039758.7451027918,1029359.196427336
2016-04-29,1025144.4155574909,1019054.0972166111,1032445.6126962847,1057089.2797114614,1001727.0656110737,1036427.9769942957,1024331.6336747878
2016-05-02,1032969.2299260127,1025958.1707097552,1042682.0439041407,1064321.3069957881,1008413.0831712042,1043280.8515741627,1030371.4586085114
2016-05-03,1023935.5774915435,1016352.1741767632,1032462.2512539561,1057148.6670676153,997335.3237739622,1035102.503263857,1023539.1561556838
2016-05-04,1019817.1254946679,1007984.2409342437,1023774.0208237594,1049029.474925376,990040.8904586607,1029291.6255184792,1020042.6099454482
2016-05-05,1023004.2886477803,1008119.0416224981,1024326.5411060909,1048117.155080343,993324.011889534,1029842.7483386883,1021996.0325484718
2016-05-06,1029075.8900028296,1009285.3029814662,1024753.7079416022,1051394.4611974724,997603.823525943,1034503.0902853989,1026313.3767172892
2016-05-09,1029336.0945507961,1009520.3893878395,1023136.6009151113,1047130.5930501522,996980.2436624328,1032478.4342872886,1027139.58864716
2016-05-10,1042064.9724899962,1022305.3112738625,1036663.86734238,1060231.3370164095,1012195.8947688927,1045449.46691196,1039162.9959433024
2016-05-11,1030757.6922605239,1009833.1816320814,1030749.3488657922,1053606.124007754,998391.6018035999,1032782.1839383524,1024188.0578577752
2016-05-12,1030920.7808042538,1008693.5142229232,1031007.463776422,1052945.172358768,996999.3519009147,1033329.2066507858,1025466.2685253643
2016-05-13,1024729.8911511877,999257.6360165603,1022016.4160606237,1041163.9093099701,988622.0640483587,1022530.8894716869,1016194.6966181817
2016-05-16,1036806.182256071,1008318.5867709607,1029733.4565564627,1052030.357709446,995338.7706911301,1032758.3805348754,1024457.8168838028
2016-05-17,1024195.6226370736,996035.915130335,1020050.8984189649,1042173.9149063996,984488.1674640031,1022219.5090644845,1011448.8787356229
2016-05-18,1026377.6936421387,997799.8472787141,1027901.6340350949,1042910.7802594384,988328.249272048,1022023.5011344205,1008395.310095118
2016-05-19,1020042.4435367223,992491.721152209,1022612.4341042553,1036298.1343114816,976664.397795989,1016704.2946465011,1003996.8749508844
2016-05-20,1025531.9781929932,996104.2913568908,1027095.715268533,1040881.7966540032,979648.4972366956,1020526.05066116,1007365.0216465916
2016-05-23,1025160.619278743,995050.3169135894,1027324.8455576947,1040864.1733379582,979260.0410095952,1020058.9800503566,1005516.0949568142
2016-05-24,1043374.6619201989,1007567.9630394896,1041323.8439500307,1053921.639296325,990449.4474603981,1032486.6345028401,1016151.486159844
2016-05-25,1050976.7486828053,1019203.004033482,1052438.840837706,1064338.1885779568,1002161.2852089953,1040968.7324642097,1023366.6019110874
2016-05-26,1051303.6648779332,1017155.2694754604,1047387.2203697106,1060750.2821319737,1000912.7615110031,1039614.6718712224,1023516.8788261416
2016-05-27,1054929.3033155256,1020548.004896801,1051338.3005658695,1062682.6454797694,1004077.1804310593,1042234.754631898,1025522.549256064
2016-05-31,1051775.6438645269,1018515.5707887188,1049408.1340779578,1061092.4577143206,1000891.5315826774,1037218.6144437465,1021024.0812910466
2016-06-01,1052184.7053702325,1018963.2356784451,1052102.0209519793,1061773.3027574585,999510.8561299948,1037362.6876753157,1020541.096550362
2016-06-02,1056008.5951528554,1023904.4364558693,1052982.7048779875,1066657.647909525,1002524.6088226325,1040213.6292821502,1024483.8139818062
2016-06-03,1054116.0700550624,1020032.0576038104,1047731.064700937,1067794.791997946,996580.1664974717,1038376.7809985522,1022824.7817064612
2016-06-06,1061715.276822273,1028822.2090147767,1052804.001685522,1075025.865819204,1004843.094958681,1044981.8268417432,1028706.7945303004
2016-06-07,1062885.9082256225,1027796.1231740155,1054371.0083205358,1078545.6923982962,1001986.8702764731,1046028.4932434214,1028029.827186194
2016-06-08,1070402.5299794776,1032229.2233251093,1056521.5631983173,1082973.337976931,1002618.7836811761,1049922.1150360412,1032337.1623632072
2016-06-09,1068368.023418169,1029084.1722164252,1053916.3320169414,1080771.2478862798,999588.7726263758,1048763.9484812352,1031628.3025564598
2016-06-10,1060433.6038719614,1023627.3992863321,1049247.2535110244,1077657.2965823303,989262.7065789016,1041775.2008853505,1026022.279384377
2016-06-13,1051759.4491649317,1019408.8719343351,1044474.0973261832,1071259.4515152727,982770.9628577122,1034027.8194590438,1021052.3694908832
2016-06-14,1049010.5932211988,1014341.8167861052,1041229.6786553614,1069268.1674255233,977774.2432909113,1030665.5032990497,1019039.8267151036
2016-06-15,1045848.4554494173,1011787.5802300975,1038570.802378592,1066689.9611022824,976560.0959070644,1028644.9474087156,1017700.243265591
2016-06-16,1050020.0284826183,1013066.193206611,1044479.869655144,1072050.8701373972,978162.2242064611,1034063.9231858479,1020565.8160279676
2016-06-17,1044912.0045856935,1009223.0934502718,1039364.1366575178,1070010.535262178,974478.6744227146,1030685.3204866333,1018927.2679721492
2016-06-20,1054574.064030486,1018594.093045084,1047395.9347155492,1076867.7572178056,984584.2641176198,1038248.9943062037,1027147.1178023646
2016-06-21,1055820.635359427,1018280.6558860085,1051138.6870465858,1080120.7684670337,982840.8311342058,1039698.7240806284,1026212.8085261292
2016-06-22,1049539.3810728793,1015439.8515731016,1048253.4527336769,1079048.5586594385,978993.50433916,1036847.2130143804,1023142.3817926104
2016-06-23,1066537.039221154,1031268.6574066443,1066685.583337345,1095314.988498352,993903.125437252,1050273.1298184101,1034850.9968964772
2016-06-24,1026915.8916230004,989387.1543125304,1024800.9441755756,1055380.9685323627,950205.19991892,1014683.7387561669,996777.1185378802
2016-06-27,1004726.3955996868,969489.0394767384,1008265.7303041006,1038951.0801046329,930739.4749335172,999492.7255546169,978339.6480649704
2016-06-28,1021085.2862975777,984377.2378921049,1026688.3412496663,1055155.4629705008,946789.2492018874,1015206.8441732405,993755.9679541952
2016-06-29,1039918.7829252237,1004880.760176244,1046098.6408326174,1074218.6022250706,963021.5168344906,1031823.5559619728,1010529.525870478
2016-06-30,1048956.4863826362,1017959.7428304008,1061573.3163940352,1089837.830955636,977877.6029061296,1045545.1360933974,1022004.0837672752
2016-07-01,1050059.0278853553,1019913.6481853239,1061658.8488104306,1091658.231906702,980061.3661646866,1046675.171353185,1024868.5447123398
2016-07-05,1046609.2948661791,1012074.9200752053,1053978.9986612743,1084841.616032846,970654.9119213728,1040333.6713264777,1019251.1285250534
2016-07-06,1048305.3037784412,1015074.6879269896,1057627.4453509727,1088452.7294942404,975179.0394547529,1044882.05755253,1023684.093504576
2016-07-07,1049865.3994338082,1014606.097309076,1054331.7554309631,1084351.8552665322,979116.3155749189,1043556.1282545606,1023951.9583804306
2016-07-08,1067462.2721991,1033014.8830797861,1072046.5099438496,1102641.6507231253,996445.6353540862,1058184.4016638696,1038920.3424788652
2016-07-11,1073164.4780593559,1037712.6460910273,1076828.5250406954,1106700.4609395745,1002805.1162796781,1062860.4606903882,1043351.632194174
2016-07-12,1080747.8083858963,1045377.8714392112,1085084.3741594583,1114050.1365333914,1011502.4858619841,1069901.1429847677,1047793.9678020614
2016-07-13,1083222.3065155132,1046487.1002947496,1086425.9592924204,1114609.379333835,1011497.1976303149,1071326.84157195,1048255.179425421
2016-07-14,1090636.2421117038,1058142.0425632764,1096184.5242093503,1121946.0790879496,1023559.6476433984,1079157.705748249,1055541.0412435515
2016-07-15,1090688.544600968,1057025.3475309233,1094759.3202233936,1122798.9842043102,1022797.0780900501,1079749.0324030383,1057894.8281751503
2016-07-18,1091544.3078320497,1058672.081423233,1093640.5246861307,1121933.4000552897,1026740.3195506001,1080711.1910277805,1058627.9848674892
2016-07-19,1096607.8766363072,1059858.1608494662,1090783.6279209494,1121486.6927770735,1027635.5929831085,1082224.9280402618,1065041.3266102928
2016-07-20,1106120.427084651,1063498.094807061,1093665.1296505851,1125545.29926888,1030729.5717082479,1084325.3221403435,1068912.6257785056
2016-07-21,1094918.940944696,1058760.9363332596,1086326.234894938,1121775.577098737,1027031.0708918034,1079788.6667782052,1066735.340058558
2016-07-22,1104438.5734816259,1062944.160378323,1087072.9826974077,1119998.8630798717,1032309.3128502254,1082915.3406329683,1072672.6817619728
2016-07-25,1099199.753230598,1060181.0408712584,1083921.8877630816,1114346.2197461927,1031376.9384983666,1078379.2547302437,1066995.6737377571
2016-07-26,1094275.2874258808,1060387.2351421341,1081920.3363338793,1123130.046107291,1027535.930488822,1077253.2056863492,1065997.55109524
2016-07-27,1092463.4471015471,1061272.031591903,1077863.2225066153,1125084.9997088786,1028467.8956297613,1077161.067153274,1068169.9505302834
2016-07-28,1093859.5544737664,1058721.9987125855,1078566.3224947855,1121335.509839507,1026005.654564385,1076238.542903699,1063030.699231379
2016-07-29,1090473.3405377876,1056736.524256215,1077490.9361839746,1123103.531147557,1022861.7622607314,1074832.6615040998,1063726.1706478524
2016-08-01,1091103.8535675008,1056167.6830572146,1073203.9736053185,1118077.2601391417,1023273.9862772657,1073215.6245540425,1061430.288817637
2016-08-02,1086108.7381822013,1050038.34239996,1069495.143704,1113792.2111902216,1016266.214836187,1067924.3215773758,1056385.4165012764
2016-08-03,1087339.1313000761,1053010.7844002557,1074189.032707022,1119182.5340017788,1019831.5869357468,1070328.579220404,1057702.7597095894
2016-08-04,1092014.1419006374,1053328.6896345927,1074123.1708164632,1119032.056799723,1019312.9561751182,1070156.6024775817,1057379.7621700692
2016-08-05,1101694.651263099,1063899.4927489904,1089048.6557543136,1130555.2236295433,1031198.648684341,1081322.2209782703,1063931.363206141
2016-08-08,1100526.5578166102,1063680.3580079407,1088334.5871214895,1132788.0232301147,1030473.9743751953,1080491.8352617703,1062867.4580012362
2016-08-09,1099644.204651742,1063418.1631219,1088909.883448245,1131644.3516377269,1031736.2854297911,1080711.1910277805,1062706.3136698762
2016-08-10,1096605.2929511315,1062521.5327873144,1086614.2764181392,1131842.5053300166,1030663.8538810202,1078530.844826069,1062384.5578509374
2016-08-11,1104040.1167413474,1070980.4386267597,1095202.7606824336,1139148.290964917,1037802.2562262819,1085403.5365935198,1063791.309620957
2016-08-12,1101844.6492878224,1071123.9995558287,1094426.2689879325,1138547.19658829,1035129.9097905102,1083243.1214712744,1063952.1030634926
2016-08-15,1101954.0803812859,1074633.3567187202,1096050.7183534054,1144616.1618645352,1037991.4321408641,1086717.3933519267,1065651.5628413246
2016-08-16,1099233.0619766319,1069569.0788131254,1090116.0249200312,1139786.821235985,1032424.189956873,1081817.308992209,1063477.236588006
2016-08-17,1097735.2593361156,1070100.5729587146,1091411.3637602848,1143028.9231796851,1032251.4136345364,1083095.517591342,1065134.7211712883
2016-08-18,1097916.6927872277,1073104.4752547254,1094045.1172227613,1142227.33612875,1033830.9616080639,1084481.0123439445,1065778.4097792672
2016-08-19,1097256.0725110269,1070351.776537324,1093449.4111235708,1141124.7137558912,1029767.0431181416,1081849.4265031202,1062151.3514506386
2016-08-22,1098923.035827228,1070941.85612579,1092578.470846743,1139318.6361645572,1029689.4173180837,1080499.466017909,1063120.515595727
2016-08-23,1099835.8790563967,1071385.4552508746,1094322.6392166154,1141005.3737980328,1030315.9078363713,1081542.146203694,1062739.5652535486
2016-08-24,1092752.5222591385,1063354.2974573362,1091949.249432019,1136344.1706787478,1023405.5569563761,1077703.9897579313,1054479.2576169062
2016-08-25,1092534.3185070856,1060168.2712027992,1095282.6353970002,1133072.8607889044,1025101.9857477905,1075775.572400672,1050597.452987771
2016-08-26,1091074.79745054,1058103.6539754744,1093269.3389360423,1129684.3990673302,1023964.7699412928,1072684.4328133,1047992.1469793024
2016-08-29,1097224.343497165,1063047.8662726055,1100460.7379000266,1136853.2316489627,1027983.8832704218,1078958.2810617054,1052980.6199979486
2016-08-30,1096914.6598168418,1062036.5059221182,1102421.8743787738,1133092.6953051712,1028857.907599684,1076119.0703187853,1048713.3466252985
2016-08-31,1094508.6142573624,1058774.8641915836,1100526.191960727,1128934.595314973,1026156.9651748168,1073004.0134360539,1043881.9462194146
2016-09-01,1092571.056243867,1057363.5618320256,1096684.142131799,1129990.5995153522,1021805.3448128137,1074078.127781454,1042620.953886956
2016-09-02,1096333.2500962096,1060090.183078702,1099769.6503522515,1134632.2144661,1024014.9172726552,1078315.1336003044,1047069.5674771966
2016-09-06,1102727.0241013237,1064615.429265089,1102247.6485328348,1137596.0491495926,1028964.3545884634,1081006.7404632925,1054834.5563268366
2016-09-07,1103465.698289286,1067241.5854836416,1100371.6619277752,1143484.9714540397,1029592.2576944501,1080308.2415469168,1056286.2122525873
2016-09-08,1099829.0155724632,1068141.9693763475,1102801.3491555585,1145123.50540943,1029060.724786663,1077612.4206842699,1057372.856207818
2016-09-09,1077433.6452461497,1045404.6557735786,1081681.9152979532,1117765.7447472415,1008899.7818462999,1054610.3604940043,1032202.1196584404
2016-09-12,1093554.417855087,1061732.3061530911,1094868.3447310436,1132425.937310785,1024312.6504665969,1068583.3000104674,1049146.8076505363
2016-09-13,1080027.4123970876,1045277.6290663889,1076799.2519280226,1115076.5098081902,1009037.1401052234,1053519.9596093833,1032780.9727029504
2016-09-14,1078034.583686253,1042749.4077907673,1075797.7235255686,1115638.540371082,1006816.018749358,1051655.09392265,1031051.1931314172
2016-09-15,1090943.617120804,1053332.6019933794,1086212.2514517438,1128508.6041494003,1015495.2175656094,1062017.888542443,1042307.2373170556
