,date,a2c,ddpg,td3,ppo,sac,dji_value,ensemble
554,2018-03-16,1398272.4869931028,1555466.994037309,1381815.0872079774,1418972.4039037388,1645307.1497652512,1454696.9411032037,1335354.2306335976
555,2018-03-19,1379245.3967791314,1533404.7493858044,1357407.8894958734,1391925.4291507157,1627325.0233025742,1435127.2405807704,1313121.5860374975
556,2018-03-20,1383439.098533607,1538997.6760348398,1357899.8692328255,1396115.8909199508,1636662.5745946914,1441912.4633823354,1319295.7728813698
557,2018-03-21,1380117.8123475632,1529813.5182518752,1349384.9539095252,1392866.0592651907,1625072.1970847293,1439290.7861353026,1318385.9496506264
558,2018-03-22,1345465.7171871655,1488603.1414018967,1314581.1094159747,1362376.2002885542,1574174.4135529296,1397047.9451797362,1276986.235932212
559,2018-03-23,1314885.467762626,1458708.220940308,1282805.5583654803,1337004.138417857,1552824.3194908756,1372283.0664296038,1251852.7957390358
560,2018-03-26,1353692.972946817,1501909.6334094082,1327641.8978666768,1369391.7418095982,1597242.0477767435,1411317.5730505376,1289558.34986959
561,2018-03-27,1331312.580618454,1478786.2935462818,1299545.6728559297,1354346.1671629301,1573458.5827843647,1391206.2027341563,1269932.2256401589
562,2018-03-28,1329287.410941768,1484230.1267350556,1301734.7084390156,1356184.3814554794,1574510.2459714417,1390664.4190483254,1268279.1933144142
563,2018-03-29,1345393.4568610776,1487970.0438978905,1314016.0888212402,1357228.9812289204,1582655.9789368303,1405516.0344395384,1275885.5223549416
564,2018-04-02,1313203.6600178296,1471036.8909010582,1282675.9590207457,1340746.8317323017,1569738.972769872,1378755.2004457267,1255639.8923920204
565,2018-04-03,1329118.7539710582,1493648.4693956955,1299137.5816352342,1364955.9873953802,1602100.101806081,1401448.7275258566,1277648.139172416
566,2018-04-04,1351334.3223722363,1510940.8881077494,1324201.041005983,1382209.6400885892,1616091.6000829737,1414915.5315157624,1291703.853024345
567,2018-04-05,1358628.1620347532,1523191.49296631,1326164.0088825421,1393424.322454359,1633269.5321388817,1428964.2091341969,1305315.3341110756
568,2018-04-06,1327328.1990170716,1489945.0252947437,1297729.3949182648,1364386.071711143,1596294.7190041768,1395582.4983255041,1273946.6842466688
569,2018-04-09,1332446.7182481415,1495059.6766839013,1310023.8193882578,1368113.19976997,1597264.2690399268,1398284.6971335798,1276182.4884530096
570,2018-04-10,1353113.4663935646,1518131.8777660127,1331682.5802740247,1386169.4876236364,1628945.9985221927,1423295.0128908523,1300323.2289310028
571,2018-04-11,1344818.7061275113,1503150.139091787,1324491.0823230539,1384294.3392178672,1610808.0788152248,1410550.7390045642,1287620.139799613
572,2018-04-12,1358136.3458778872,1520837.968587302,1340562.6794125482,1383751.9741692508,1632914.8797987287,1427671.422374083,1302979.5526168358
573,2018-04-13,1349509.2277201647,1513883.6179046624,1333225.89514028,1381080.8470427697,1619767.8441057203,1420504.2061980644,1296350.5122041504
574,2018-04-16,1358366.7127340261,1528871.9280409128,1344162.4380432775,1386857.9250917013,1635872.9097720901,1432918.876975924,1308835.2505126449
575,2018-04-17,1374758.0951728527,1544023.960635154,1354792.8088616733,1398480.8800496534,1657581.4925873866,1445373.9793721295,1320138.4334934189
576,2018-04-18,1364876.5736915504,1532461.776412154,1343162.3338686707,1394473.3006802693,1655666.533927344,1443125.4119327029,1319381.7994334996
577,2018-04-19,1357724.21619944,1533267.177971258,1332379.1760554088,1383641.9884213405,1653941.5205235905,1438274.9844338268,1314375.4589155018
578,2018-04-20,1352914.0629990594,1524979.785496845,1316760.7951864928,1374380.0085920282,1640941.8041988013,1426498.6776582962,1313061.1001640044
579,2018-04-23,1354348.2289459684,1518615.1934059272,1315770.788693449,1376735.0532716422,1634772.3905756457,1425667.7224823826,1312531.0692268056
580,2018-04-24,1340838.17238094,1502225.6834487515,1298556.0657007552,1353966.6282061397,1614444.6547831579,1400910.5883802718,1306698.1083526064
