,date,a2c,ddpg,td3,ppo,sac,ensemble,dji
73,2016-04-19,1042477.8891296209,1053463.6703169092,1044941.6610757223,1027233.4292624973,1073094.6140955056,1028872.1950820148,1052753.125563409
74,2016-04-20,1052401.542655157,1055987.7856863241,1052572.1353058687,1032834.3929358679,1076818.1654253085,1038069.4095515964,1055241.32152396
75,2016-04-21,1052089.431645581,1052934.3524857464,1045676.7297985157,1028762.7378106933,1075901.248083111,1033371.976213431,1048608.2582776337
76,2016-04-22,1053444.5663064106,1054905.8548164205,1046526.8790953357,1031630.4491234851,1075000.7650145616,1035657.774724936,1049846.2630421866
77,2016-04-25,1052226.9064893138,1053751.9548145132,1042743.8867984997,1030165.8410793688,1072903.9944964214,1035144.434465384,1048300.408518794
78,2016-04-26,1057665.7765559643,1055634.168259843,1048689.8441016963,1034672.8976554956,1076774.1339433228,1036962.1074619052,1049063.1424569918
79,2016-04-27,1061178.7957939713,1060202.554398673,1054417.4711132164,1044237.3987266909,1082475.2331476945,1044230.7499980684,1052050.5265392573
80,2016-04-28,1050540.9758763625,1048655.6783079186,1044084.8133632748,1031027.9885316616,1069537.5681834167,1031023.906267142,1039758.7451027916
81,2016-04-29,1046286.5460594015,1045121.5617517438,1040554.0103995301,1027915.6024923632,1066397.294159304,1023959.9477443452,1036427.9769942953
82,2016-05-02,1050625.9141775006,1051755.2518666075,1047903.616070128,1033247.6628735942,1068930.093034113,1033615.6286601778,1043280.8515741624
83,2016-05-03,1044040.7291688167,1043656.809001849,1037330.7724865754,1023275.0636099284,1063551.483502551,1025363.7741794344,1035102.5032638564
84,2016-05-04,1038709.3005352021,1037380.6100465507,1028342.2507824247,1015066.6825901452,1058472.4049052326,1019631.0429172274,1029291.6255184786
85,2016-05-05,1043946.2922316524,1038420.1427778861,1028302.5783074293,1018853.685285102,1066234.1407937428,1022012.9785670992,1029842.7483386876
86,2016-05-06,1048332.6065590044,1042750.4363460642,1032013.6187406643,1022774.8094595463,1072184.2319626948,1024146.6013736484,1034503.0902853982
87,2016-05-09,1048842.9114688467,1041009.9120278641,1028302.438124949,1019924.1174668041,1071723.2544178467,1022411.4966602084,1032478.434287288
88,2016-05-10,1061602.553842339,1054194.6896622323,1042976.5991461781,1036550.2391693828,1085931.1391731135,1036322.0621356722,1045449.4669119592
89,2016-05-11,1046018.1039155978,1039762.6637284536,1031087.1991580746,1024613.5797782934,1076326.322937502,1022924.3742809054,1032782.1839383516
90,2016-05-12,1045376.9617393516,1039633.14133018,1030690.5042986579,1024646.2615563307,1077798.9000216876,1021455.1345615144,1033329.2066507848
91,2016-05-13,1036671.5794724723,1029071.1406057018,1020457.8690817578,1012343.1409400835,1067786.5184280414,1009067.218236899,1022530.8894716862
92,2016-05-16,1047079.0660676077,1038164.0780797579,1030006.5417887729,1019813.012680294,1080051.80662975,1015751.5675754304,1032758.380534875
93,2016-05-17,1036832.5212110623,1027136.9055105753,1021278.9581120749,1010485.655537529,1070123.8832627148,1005945.5401935336,1022219.5090644842
94,2016-05-18,1037250.005221453,1026432.1191496648,1026708.4823771747,1015061.7609989758,1066795.3118872235,1011258.1974620576,1022023.50113442
95,2016-05-19,1029320.6873821758,1017590.7033795062,1017277.2203529889,997874.4872896377,1056609.8604496552,998634.6295490024,1016704.2946465006
96,2016-05-20,1035853.1860328697,1019978.2750203636,1018968.6626198702,999277.5176738055,1064135.0261887184,1000628.2368526215,1020526.0506611596
97,2016-05-23,1033256.5036011441,1018894.7985021428,1018765.8446333982,999444.7830998143,1061511.6775081132,1001049.46394155,1020058.980050356
98,2016-05-24,1045141.9582102298,1031075.5754018925,1032475.8150045756,1008902.3175433011,1073146.2886572557,1012356.576616263,1032486.6345028396
99,2016-05-25,1052652.4386999141,1040620.4871055738,1041038.7107767218,1021387.9909349282,1083607.501506765,1025234.02272222,1040968.7324642092
100,2016-05-26,1052026.302483588,1039577.2671564032,1038512.2110192415,1018933.523617275,1083546.4192528531,1021367.9440860506,1039614.671871222
101,2016-05-27,1056403.388309303,1042435.9952253707,1042538.1668840967,1022138.2177957987,1086848.6620393922,1023938.9627361055,1042234.7546318976
102,2016-05-31,1049424.5579695466,1037902.6584599992,1038108.3043922122,1015775.9029540174,1081656.4589908265,1021181.7208156344,1037218.6144437458
103,2016-06-01,1050910.6530867538,1037826.9175171631,1039710.3622590586,1016548.1587464378,1082104.4328922885,1021157.9484615084,1037362.6876753152
104,2016-06-02,1058813.608316457,1041559.1201914871,1044898.3651195609,1019734.2033705481,1088776.9880022951,1021930.419118857,1040213.6292821496
105,2016-06-03,1059793.0858986902,1039682.3132950659,1042826.7678933017,1015072.2493628841,1090317.644279497,1015046.0781802888,1038376.7809985516
106,2016-06-06,1071948.184309693,1046938.1382406846,1053625.2615617884,1027469.6114041146,1099824.3233365887,1020313.766939139,1044981.8268417428
107,2016-06-07,1069326.2769808697,1045913.7244920101,1052041.7698893447,1023828.4791102463,1099904.3982679783,1019719.5830974336,1046028.493243421
108,2016-06-08,1080741.229312055,1050172.5036380766,1060796.795706713,1026924.4739091487,1108226.2246230158,1020611.2558955904,1049922.1150360403
109,2016-06-09,1080931.9130435917,1048922.5067379738,1059569.7494910732,1024984.3690492976,1110515.0923514115,1016210.1820125338,1048763.9484812345
110,2016-06-10,1071092.6501296293,1040593.7691436067,1049134.1383084422,1013467.4837029158,1102560.5564069494,1009621.72799108,1041775.20088535
111,2016-06-13,1062667.873104996,1033184.0627680664,1040381.4332066665,1006545.1034548593,1093068.3903030462,1007849.4436549898,1034027.8194590432
112,2016-06-14,1060714.5872937497,1029314.3648802441,1035356.5834765784,1004252.2107697787,1094443.8041102856,1003637.9845943208,1030665.5032990492
113,2016-06-15,1059326.5455534698,1028621.2823549357,1035157.8821781757,1002027.38701228,1091294.229029006,1000826.4857616182,1028644.9474087148
114,2016-06-16,1062666.795451626,1032744.7140242743,1038566.926925425,1004125.001463082,1094400.4860565264,1005853.359655356,1034063.9231858476
115,2016-06-17,1058820.5525284882,1029871.8712685169,1035474.8772218105,1001052.9476558887,1092402.5660057897,1002674.8222865816,1030685.3204866326
116,2016-06-20,1069400.038067293,1039051.9459035232,1045070.0611361177,1013386.295023721,1103032.108855591,1012894.7375621554,1038248.9943062032
117,2016-06-21,1066124.805423385,1038635.1613035685,1044929.0759184716,1010791.6645622707,1102615.346066331,1013905.377637839,1039698.7240806276
118,2016-06-22,1063268.3151131887,1036039.4475749771,1039981.8044059915,1009822.5252674628,1098616.7379064213,1010822.1957301853,1036847.2130143796
119,2016-06-23,1076325.3150996442,1048945.8444083561,1056396.574251964,1025516.0731216761,1112132.049713061,1027879.8697261568,1050273.1298184097
120,2016-06-24,1040966.2618178661,1012181.2059985425,1015278.9671367711,980446.9153558271,1071866.0095162191,984813.782072043,1014683.7387561662
121,2016-06-27,1025531.9660234296,996486.6160921275,996957.7557714611,964732.3169468509,1057090.8828842766,966994.1333636997,999492.7255546164
122,2016-06-28,1039368.8792097633,1012497.3118035119,1012710.464137595,980641.0513440509,1074586.9879901062,981807.6399593112,1015206.84417324
123,2016-06-29,1057393.4858713737,1027587.9519989019,1029926.5108399651,997532.8225460236,1091499.8836012902,999870.1322383638,1031823.5559619725
124,2016-06-30,1067559.5832782441,1041722.0339237446,1040831.3847314665,1014671.4443203798,1106036.367463275,1015094.1955280062,1045545.1360933968
125,2016-07-01,1067457.4210468577,1044654.2873608615,1041424.7364813085,1015606.5265015397,1106710.4002449135,1015132.6831416842,1046675.1713531849
126,2016-07-05,1062929.5409545684,1038340.3764496233,1031319.6583009603,1005208.848245102,1102687.3106672466,1008210.2687968966,1040333.6713264772
127,2016-07-06,1066253.9938282026,1044952.3709868008,1035602.6912204374,1010430.7986092016,1106842.897019078,1011651.951963536,1044882.0575525296
128,2016-07-07,1064825.0619805362,1043979.9986049201,1034721.3574087141,1012185.6225210925,1103838.6103695726,1012306.7059403616,1043556.1282545604
129,2016-07-08,1078844.1049263391,1061142.118494399,1052681.3558418266,1029517.6903607199,1118612.1927731296,1026751.4688095024,1058184.4016638694
130,2016-07-11,1082214.0068323796,1065095.378077285,1057272.8922795272,1035575.7171401945,1121522.032824247,1032608.478106814,1062860.4606903875
131,2016-07-12,1083093.6423374554,1072011.45076871,1063962.4595105741,1042168.8078692529,1124445.608713079,1043764.6997856128,1069901.142984767
132,2016-07-13,1085958.824087257,1072525.098096883,1067180.8080376855,1042337.3404635912,1126958.8944005752,1048005.2538544892,1071326.8415719494
133,2016-07-14,1089783.2019285029,1080939.7102657105,1074506.7384182413,1054197.8795678199,1133301.3365748306,1062709.9023527266,1079157.7057482486
134,2016-07-15,1091671.8390669886,1081631.470590854,1075686.3538834925,1054705.3593012071,1134339.9644493791,1058941.207485295,1079749.032403038
135,2016-07-18,1092819.774864399,1083054.9443772929,1077321.1390478376,1058211.876341223,1133945.3606230393,1060968.204491597,1080711.1910277798
136,2016-07-19,1101188.5326298662,1085126.7448799887,1082012.1651011342,1058999.9402539264,1139929.772642772,1061740.0732774893,1082224.9280402611
137,2016-07-20,1103647.0133617416,1086371.642071958,1085000.5310425095,1059618.9739853148,1144035.7433902258,1064316.2569970367,1084325.3221403428
138,2016-07-21,1097755.8046786676,1081955.5970402358,1079046.4510986856,1054493.115037899,1138466.529316147,1057509.4319283569,1079788.6667782047
139,2016-07-22,1103187.5186164267,1084048.692366286,1082569.1577116095,1056096.7401889218,1139425.0946193999,1061172.9176919523,1082915.340632968
140,2016-07-25,1096354.7291611533,1080506.0753408382,1076305.909525249,1054322.6768194425,1135420.2740624603,1057447.0334532743,1078379.254730243
141,2016-07-26,1097051.2421906572,1078364.6878839706,1075835.365140799,1057662.0452701126,1136479.0744912608,1049409.115308137,1077253.2056863485
142,2016-07-27,1097300.7656407673,1078670.1791733005,1075754.8437974602,1060559.6021586726,1135260.2343898038,1043074.977062577,1077161.0671532734
143,2016-07-28,1095907.0578181485,1077662.4141162573,1074755.1416520784,1054971.747829937,1134412.805588826,1042873.1085972833,1076238.5429036987
144,2016-07-29,1096196.9230239815,1077870.6880687266,1072278.7576083983,1055274.1701779976,1135234.5543931928,1036829.0391297386,1074832.6615040996
145,2016-08-01,1095779.840373681,1077146.1888692107,1068904.3363887337,1054750.4891373827,1136218.5423907023,1036773.7079663322,1073215.624554042
146,2016-08-02,1089673.068854815,1071433.55004838,1061979.8171145814,1047344.4831809051,1131690.0648826694,1031154.8752465294,1067924.3215773753
147,2016-08-03,1090377.3138749811,1073457.1056808468,1065803.1751183737,1051127.4547341536,1132518.4539835819,1036299.2660031364,1070328.5792204032
148,2016-08-04,1089853.54308078,1071967.4235018683,1066269.72304039,1047775.3714334575,1133508.227397515,1037776.709316735,1070156.6024775812
149,2016-08-05,1096916.9408068073,1083226.084339567,1076122.5390362195,1058945.5438955226,1139676.6775337972,1050120.002258782,1081322.2209782698
150,2016-08-08,1094859.9770278148,1082015.2884662892,1075355.1112912716,1058103.231680267,1138226.2997240622,1049069.8837337634,1080491.8352617696
151,2016-08-09,1094857.0291417567,1082185.0552143152,1075049.9798460605,1060130.1952989695,1138601.160808807,1048992.5120021957,1080711.1910277798
152,2016-08-10,1096139.1914040009,1081605.7476079143,1072948.9905698304,1060723.1944442021,1139566.9916704227,1048805.7679269928,1078530.8448260685
153,2016-08-11,1101642.0671003144,1089847.6809930515,1079431.8565010165,1066805.5514107195,1145624.0627987878,1051285.5788900517,1085403.536593519
154,2016-08-12,1099860.6434895468,1088294.035085806,1078594.9886909304,1064543.6379781337,1142894.3664668198,1050819.1307308336,1083243.1214712737
155,2016-08-15,1098181.3697962612,1092923.9955430904,1079643.5086004236,1071884.1855635706,1144567.154153514,1050747.875302901,1086717.3933519258
156,2016-08-16,1093652.4208653804,1088005.7238696364,1076167.145367572,1066927.5073417414,1138368.580638472,1047159.1828472278,1081817.3089922082
157,2016-08-17,1094869.8224319117,1090823.861880823,1075816.0962858147,1070339.2604688047,1140408.1050660575,1047217.7441984316,1083095.5175913414
158,2016-08-18,1095682.0759471965,1091952.1204769851,1075936.2018564297,1071131.1826260728,1142948.3913858857,1047689.8189554357,1084481.0123439438
159,2016-08-19,1093930.448215911,1089643.0609470794,1074476.1332575348,1068659.5402667213,1139660.2128984556,1047664.8448343418,1081849.4265031195
160,2016-08-22,1093919.0467572268,1089429.7036494846,1075931.3706544419,1068998.2022619992,1139564.8971278812,1047464.47129658,1080499.4660179082
161,2016-08-23,1093628.2406883724,1091017.2571133263,1076299.0662808572,1067938.5961048128,1139875.48521294,1048095.9985716656,1081542.1462036932
162,2016-08-24,1084315.67114024,1084341.587803811,1069234.8177935912,1060293.0457828934,1133239.0897342062,1043426.6385252788,1077703.9897579309
163,2016-08-25,1078565.04467918,1081717.9679908978,1068354.7204712601,1058742.4351022553,1129965.1730136354,1042668.1021521403,1075775.5724006712
