date,ensemble,dji
2016-11-07,1034916.5267255104,1064765.530211701
2016-11-08,1037167.4883839882,1069030.5534336865
2016-11-09,1062488.7333676612,1084013.9417331407
2016-11-10,1061426.2629340962,1096737.2595130187
2016-11-11,1061426.2629340962,1099056.8954872277
2016-11-14,1061396.3643047167,1100283.1693878665
2016-11-15,1061632.9521045515,1103453.6916174549
2016-11-16,1059890.309856589,1100251.165768838
2016-11-17,1062919.400298865,1102331.7426813361
2016-11-18,1060648.9126405548,1100238.8654455105
2016-11-21,1065155.610795958,1105414.6820531562
2016-11-22,1067593.2342912508,1109332.1072492525
2016-11-23,1070404.8905139756,1112790.6620500972
2016-11-25,1072699.892676974,1116811.9566431826
2016-11-28,1069206.3268855617,1113649.0651697326
2016-11-29,1071448.9560054345,1115031.0292739721
2016-11-30,1072130.5494864983,1115146.5156429932
2016-12-01,1076172.8074267907,1119132.1620768048
2016-12-02,1074907.936411242,1117877.870773031
2016-12-05,1083795.1363509698,1120549.7743403183
2016-12-06,1084885.5653079553,1122622.1510372646
2016-12-07,1101853.4738277,1139989.9797921632
2016-12-08,1105851.7937644524,1143791.463051708
2016-12-09,1113386.7304042382,1152074.1363265335
2016-12-12,1110939.2561687035,1154382.1553287108
2016-12-13,1119754.6826213405,1161075.3534890835
2016-12-14,1114344.234609942,1154154.7132390316
2016-12-15,1119117.8507331414,1157636.6158758223
2016-12-16,1111524.2642139,1157121.7106743003
2016-12-19,1113198.5168479483,1159433.8297842534
2016-12-20,1121174.7237247033,1164772.8534597564
2016-12-21,1119290.3266871972,1162868.4672897386
2016-12-22,1115151.6002410457,1161522.6069123035
2016-12-23,1117099.274565081,1162393.1964633837
2016-12-27,1118025.8473514123,1163047.9608968166
2016-12-28,1111452.7428687615,1156554.3013148704
2016-12-29,1109108.3472903771,1155743.7327859537
2016-12-30,1106079.296963076,1152409.434029095
2017-01-03,1117944.6083777947,1159357.9777903995
2017-01-04,1125990.692484244,1162880.0842617704
2017-01-05,1122861.6461603227,1160380.1574373052
2017-01-06,1131169.0698009897,1164142.0063216828
2017-01-09,1127099.3311368737,1159685.7586287053
2017-01-10,1127730.601673964,1157828.4098062278
2017-01-11,1133126.7197959656,1163586.7833936978
2017-01-12,1126134.633228829,1159896.800287281
2017-01-13,1128041.3432336412,1159589.5199878546
2017-01-17,1113557.0734231514,1156151.3518340068
2017-01-18,1115375.7447234616,1154865.6263706177
2017-01-19,1107257.205277022,1150648.4377393508
2017-01-20,1113064.1775914673,1156179.369237142
2017-01-23,1111362.6974921995,1154581.5800152547
2017-01-24,1119931.577362227,1161162.822454969
2017-01-25,1130085.401582871,1170247.8640431594
2017-01-26,1131188.546028336,1172137.2164846654
2017-01-27,1133070.5288621983,1171721.397221061
2017-01-30,1125124.1793663811,1164569.4425573193
2017-01-31,1115798.019346644,1158327.5979279422
2017-02-01,1119585.421557078,1159893.2696389183
2017-02-02,1117585.5955698723,1159541.6853971358
2017-02-03,1147885.4459027466,1170419.9546778642
2017-02-06,1143944.846327586,1169309.6227137772
2017-02-07,1144518.0394654318,1171517.872426741
2017-02-08,1141163.955479878,1169421.5784344352
2017-02-09,1151876.701518248,1176306.0010658002
2017-02-10,1156286.717542235,1181960.5052562812
2017-02-13,1169178.3872575804,1190287.0269059322
2017-02-14,1176514.4699989802,1195666.368307898
2017-02-15,1187796.2098085124,1201932.016340752
2017-02-16,1184645.9790091023,1202393.2784655392
2017-02-17,1188081.924086804,1202642.9294723377
2017-02-21,1192840.4429051748,1209579.1729103148
2017-02-22,1192439.8282000718,1211480.142323852
2017-02-23,1189061.5105770594,1213504.7983219624
2017-02-24,1182586.570590222,1214171.863078723
2017-02-27,1188818.706627629,1215086.1871127463
2017-02-28,1186982.6392992293,1213616.7540426208
2017-03-01,1205998.6982103316,1231303.59396086
2017-03-02,1193273.583178763,1224738.7519522493
2017-03-03,1198543.062510428,1224898.5422636264
2017-03-06,1195480.9680479628,1221902.957965809
2017-03-07,1191964.0586126295,1220178.0654028691
2017-03-08,1186900.6245722852,1216152.7845938907
2017-03-09,1185997.0383159986,1216296.1744741641
2017-03-10,1187303.3266931712,1218908.0570192877
2017-03-13,1187663.0506674678,1217654.3351749273
2017-03-14,1184859.6939956537,1215082.0870049703
2017-03-15,1187402.9702953936,1221655.6986885462
2017-03-16,1188236.511447335,1220749.0054106617
2017-03-17,1171256.631807509,1219586.7387480799
2017-03-20,1169329.8328323732,1219075.9336543337
2017-03-21,1142303.9331250368,1205206.2940754467
2017-03-22,1138675.438444483,1204815.0754584975
