date,a2c,ddpg,td3,ppo,sac
2016-06-13,1074513.820780592,1060530.885826441,1064729.212291515,993843.3899561658,1107195.2789537583
2016-06-14,1072538.760977583,1056558.7628749334,1059586.7672956348,991579.4315591455,1108588.468700615
2016-06-15,1071135.246228056,1055847.3355010473,1059383.4158418537,989382.6831197381,1105398.1883012925
2016-06-16,1074512.7311142255,1060079.9081843817,1062872.2415864826,991453.8275219616,1108544.590801445
2016-06-17,1070623.6127136517,1057131.0256160223,1059707.8294389606,988420.5403305688,1106520.8494989548
2016-06-20,1081321.0316494275,1066554.0829738104,1069527.5669744373,1000598.2517073179,1117287.769268242
2016-06-21,1078009.2887886334,1066126.2667144262,1069383.2823160053,998036.3631991525,1116865.6202089463
2016-06-22,1075120.9561355878,1063461.8483603918,1064320.2310808063,997079.4535894532,1112815.333770958
2016-06-23,1088323.507279234,1076709.8580420935,1081119.1515634418,1012574.9626792455,1126505.3183672104
2016-06-24,1052570.2936905194,1038972.1151317083,1039039.2796647908,968074.5380259061,1085718.8771860276
2016-06-27,1036963.946152525,1022862.1131137335,1020289.301702297,952558.2440208287,1070752.7958337937
2016-06-28,1050955.1044739056,1039296.5877803289,1036410.6666505696,968266.224188788,1088475.0217668687
2016-06-29,1069180.6380222607,1054786.654449793,1054029.6160657764,984944.8361020646,1105606.5007669602
2016-06-30,1079460.060637312,1069294.8441947424,1065189.6939161182,1001867.1835507168,1120330.8551141892
2016-07-01,1079356.759566145,1072304.7099555456,1065796.9317243458,1002790.4658175741,1121013.5991403733
2016-07-05,1074778.4055374432,1065823.6793502294,1055455.36699847,992523.997111321,1116938.5148851548
2016-07-06,1078139.917303877,1072610.6834052526,1059838.6346357227,997680.051056868,1121147.8083116685
2016-07-07,1076695.0566299725,1071612.5737937414,1058936.6751954914,999412.7306351438,1118104.6940614854
2016-07-08,1090870.3749779034,1089228.9490989172,1077316.9868524433,1016526.0830299458,1133069.211227623
2016-07-11,1094277.8424137402,1093286.8454974615,1082015.9778364063,1022507.6628422093,1136016.6582452927
2016-07-12,1095167.2835377026,1100385.9761966192,1088862.0992887379,1029017.5545678411,1138978.018623558
2016-07-13,1098064.4045170117,1100913.2189944708,1092155.7659986378,1029183.9604291386,1141523.7861826096
2016-07-14,1101931.414097624,1109550.5532496893,1099653.143243587,1040894.8299665246,1147948.198501793
2016-07-15,1103841.1045654584,1110260.6234267675,1100860.3649461628,1041395.9057522321,1149000.249672142
2016-07-18,1105001.8368233014,1111721.7744163,1102533.408567226,1044858.1736327539,1148600.5459596787
2016-07-19,1113463.884194212,1113848.4123519384,1107334.2174966694,1045636.292872334,1154662.3009187852
2016-07-20,1115949.7705105115,1115126.2600940191,1110392.519397533,1046247.5149427495,1158821.3375055466
2016-07-21,1109992.8903682996,1110593.3290141546,1104299.0976522327,1041186.3398247629,1153180.1465379868
2016-07-22,1115485.1536091138,1112741.8254149877,1107904.2452619434,1042769.728637486,1154151.100403038
2016-07-25,1108576.1965492535,1109105.4406627142,1101494.4198892475,1041018.0523866467,1150094.5212785874
2016-07-26,1109280.4738643933,1106907.373911234,1101012.863475597,1044315.2809459387,1151167.0057146226
2016-07-27,1109532.7788437176,1107220.9510940039,1100930.457711971,1047176.2732162633,1149932.4132425461
2016-07-28,1108123.5348499585,1106186.5120166265,1099907.3597944141,1041658.9326921373,1149074.0322153245
2016-07-29,1108416.63128932,1106400.2986663305,1097373.0215719105,1041957.538736281,1149906.4013559495
2016-08-01,1107994.899266081,1105656.6230662786,1093919.6296403767,1041440.4660895867,1150903.1064798508
2016-08-02,1101820.0533302594,1099792.7793162786,1086833.057622707,1034127.9174113831,1146316.1026270066
2016-08-03,1102532.1488273907,1101869.8954127752,1090745.892690456,1037863.1511924462,1147155.197883812
2016-08-04,1102002.5393684674,1100340.7835944616,1091223.3591134907,1034553.3682333474,1148157.763195244
2016-08-05,1109144.675373869,1111897.4441951239,1101306.7580278278,1045582.5829481073,1154405.934791771
2016-08-08,1107064.7818668652,1110654.6003821814,1100521.370368755,1044750.8999718175,1152936.8122026597
2016-08-09,1107061.8011196423,1110828.860599848,1100209.0980108143,1046752.2850932736,1153316.5180170212
2016-08-10,1108358.256113844,1110234.2195952856,1098058.939822948,1047337.8011111016,1154294.8313409959
2016-08-11,1113922.4743793774,1118694.3045199835,1104693.522598064,1053343.4040848566,1160430.1844598923
2016-08-12,1112121.1925876904,1117099.5359500372,1103837.0697858692,1051110.0340094247,1157665.209350792
2016-08-15,1110423.1994159985,1121852.0444739782,1104910.1279371143,1058357.9503436303,1159359.61625692
2016-08-16,1105843.7646339703,1116803.5935710394,1101352.4082696796,1053463.8210393435,1153080.9319650803
2016-08-17,1107074.7370212842,1119696.3234427893,1100993.1436765552,1056832.5208441073,1155146.8153421555
2016-08-18,1107896.045023756,1120854.4453414404,1101116.060046947,1057614.4496406007,1157719.9324915085
2016-08-19,1106124.891257124,1118484.2684901678,1099621.8218381763,1055173.9972329088,1154389.2573663865
2016-08-22,1106113.3627022076,1118265.2639468634,1101111.1157815815,1055508.3856118112,1154292.709728447
2016-08-23,1105819.3149116803,1119894.8375552618,1101487.416494167,1054462.1507519307,1154607.3118745957
2016-08-24,1096402.9347427655,1113042.4733527624,1094257.8452165485,1046913.0805473905,1147885.147178856
2016-08-25,1090588.2039440442,1110349.4102824652,1093357.151202953,1045382.037209086,1144568.9181406174
2016-08-26,1087711.1486404706,1107672.228372904,1089947.6695268513,1045050.7008786702,1142036.531086174
2016-08-29,1093052.2647808362,1112610.807733866,1095994.4490392567,1048622.116105454,1149259.037197319
2016-08-30,1088781.2176407147,1110386.0902217352,1096561.9661882282,1047219.8914577413,1144295.883884636
2016-08-31,1083815.3766296674,1106934.0736888372,1093375.596849239,1043165.3982947984,1139503.4301836167
2016-09-01,1080956.111790495,1107541.2628787481,1087833.0122621418,1042415.8920508485,1140894.9917413865
2016-09-02,1086067.9904659558,1111181.1436141455,1092494.3940008045,1046455.1515198961,1145247.824989525
2016-09-06,1089594.4703644086,1114039.4709723913,1096817.2366350056,1050501.160923533,1149330.2811166917
2016-09-07,1089509.5866859723,1112942.9325145208,1096766.2153756977,1049132.5878279177,1148887.4204752122
2016-09-08,1089451.699353056,1111383.6208079779,1097834.640497005,1052145.0853457875,1143213.0770952378
2016-09-09,1069239.3282383252,1087239.4231246435,1076441.8140485645,1028777.5757901998,1120608.6505243455
2016-09-12,1083260.2039287854,1104102.9610312902,1090469.427890575,1045115.6032582899,1136887.1166650925
2016-09-13,1069166.456881361,1087090.080816599,1073397.7732427479,1029851.5706082159,1121699.3005220566
2016-09-14,1064869.3004921246,1086454.1012919866,1073855.602216518,1027473.3276539713,1120189.3072893296
2016-09-15,1073461.2139194775,1097004.7902682745,1083722.079643047,1035865.1484547562,1130887.8866274033
2016-09-16,1077590.2056434918,1092676.234352442,1083115.0680978657,1031914.7931378217,1127001.147026268
